date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.740 ;R$2.381 ;3;3;2;IMOVEIS AA;(11) 3937-3900 ;-23.589.179;-46.671.392;80470941;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-80470941/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.740 ;R$240 ;3;3;2;Suely Consultora Imobiliária;(11) 97604-1955 ;-23.589.052;-46.671.707;78572887;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-78572887/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.740 ;R$2.381 ;3;3;2;Olímpia House;(11) 3937-3900 ;-23.589.179;-46.671.392;75962016;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-75962016/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;168;6.845;R$1.400 ;;3;4;2;C21Natrielli Imóveis;(11) 5536-3077 ;-23.589.179;-46.671.392;83601211;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-168m2-venda-RS1150000-id-83601211/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.740 ;R$255 ;3;2;2;Wertheim Imóveis;(11) 3165-3400 ;-23.589.179;-46.671.392;79436354;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-79436354/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.740 ;R$2.381 ;3;2;2;Century 21 - Ello;(11) 3052-2121 ;-23.589.052;-46.671.707;80872335;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-80872335/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;170;6.764;R$1.750 ;R$248 ;3;2;2;Ricardo Tayar;(11) 3885-2104 ;-23.589.179;-46.671.392;83505450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1150000-id-83505450/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;;1165000;54;21.574;R$520 ;R$280 ;1;1;;Ismauro Alves Corretor de Imóveis;(11) 98618-5263 ;-235.918;-466.837;68918834;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-54m2-venda-RS1165000-id-68918834/
25/07/17;Diogo Jacome;554;Vila Nova Conceição;Condomínio Diogo Home Boutique ;1169000;48;24.354;R$1.050 ;;1;2;1;Fernandez Mera;(11) 3066-1212 ;-23.596.784;-46.667.638;79261762;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-48m2-venda-RS1169000-id-79261762/
25/07/17;ProfessoAtÌ_lio Innocenti;957;Vila Nova Conceição;Condomínio EspaÌ¤o Alpha Itaim ;1170000;96;12.187;R$2.000 ;R$218 ;2;3;3;Rofe Consultoria de Imóveis;(11) 2384-7633 ;-23.595.427;-4.667.849;80965674;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-96m2-venda-RS1170000-id-80965674/
25/07/17;JoÌ£o LourenÌ¤o;963;Vila Nova Conceição;;1170000;85;13.764;R$700 ;R$100 ;1;2;1;Portal Sul Negócios Imobiliários;(11) 97661-6270 ;-23.589.042;-46.671.949;82486629;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-85m2-venda-RS1170000-id-82486629/
